,Title,Listed count,Author
548,Revolutionary Road,4.0,Richard Yates
549,The Alexandria Quartet ,4.0,Lawrence Durrell
550,Bartleby the Scrivener,4.0,Herman Melville
551,Death of Virgil,4.0,Hermann Broch
552,The Tartar Steppe,4.0,Dino Buzzati
553,Seven Against Thebes,4.0,Aeschylus
554,The Persians,4.0,Aeschylus
555,The Suppliants,4.0,Aeschylus
556,Ajax,4.0,Sophocles
557,Philoctetes,4.0,Sophocles
558,Women of Trachis,4.0,Sophocles
559,Annals,4.0,Cornelius Tacitus
560,Ethics,4.0,Baruch de Spinoza
561,Parallel Lives,4.0,Plutarch
562,Moll Flanders,4.0,Daniel Defoe
563,Ivanhoe,4.0,Walter Scott
564,The House of the Seven Gables,4.0,Nathaniel Hawthorne
565,Oblomov,4.0,Ivan Goncharov
566,Thérèse Raquin,4.0,Emile Zola
567,Wings of the Dove,4.0,Henry James
568,The Confusions of Young Törless,4.0,Robert Musil
569,The Old Wives' Tale,4.0,Arnold Bennett
