,Title,Listed count
800,Beyond Good and Evil,3.0
801,Tartuffe,3.0
802,The Praise of Folly,3.0
803,Institutes of the Christian Religion,3.0
804,Hippocratic Corpus,3.0
805,On the Revolutions of the Heavenly Spheres,3.0
806,Three Essays on the Theory of Sexuality,3.0
807,Paddy Clarke Ha Ha Ha,3.0
808,Tales of the South Pacific,3.0
809,The Temple of the Golden Pavilion,3.0
810,Lives of the Caesars,3.0
811,And the Band Played On,3.0
812,Ten Days That Shook the World,3.0
813,The Country of the Pointed Firs,3.0
814,Pygmalion,3.0
815,Hippolytus,3.0
816,Rubaiyat of Omar Khayyam,3.0
817,The Complete Poetry and Selected Prose of John Donne,3.0
818,An Enquiry Concerning Human Understanding,3.0
819,Lyrical Ballads,3.0
820,On the Genealogy of Morality,3.0
821,Autobiographies,3.0
822,The Makioka Sisters,3.0
823,Long Day's Journey Into Night,3.0
824,Oranges are not the only Fruit,3.0
825,Daniel Deronda ,3.0
826,The Blue Flower,3.0
827,Mother's Milk,3.0
828,A Study of History,3.0
829,Jefferson and His Time,3.0
830,The Emigrants,3.0
831,Snow Crash ,3.0
832,Earthly Powers,3.0
833,Hell's Angels,3.0
834,Tristan,3.0
835,Utopia,3.0
836,Tristes Tropiques,3.0
837,Words,3.0
838,Aesop's Fables,3.0
839,My Name is Red,3.0
840,I Ching,3.0
841,Sophie's World: A Novel About the History of Philosophy,3.0
842,Master and Commander,3.0
843,A Wizard of Earthsea,3.0
844,Noughts and Crosses,3.0
845,Oryx and Crake,3.0
846,Twilight,3.0
847,Tales of the City,3.0
848,How to be both,3.0
849,The Moor's Last Sigh,3.0
850,"Charlie And The Chocolate Factory,",3.0
851,"Guns, Germs, and Steel",3.0
852,Man's Search for Meaning,3.0
853,Me Talk Pretty One Day,3.0
854,The Immortal Life of Henrietta Lacks,3.0
855,The Omnivore's Dilemma,3.0
856,Murder on the Orient Express,3.0
857,Long Walk to Freedom: The Autobiography of Nelson Mandela,3.0
858,The Selfish Gene,3.0
859,Robert Browning's Poetry,3.0
860,Poetics,3.0
861,Rights of Man,3.0
862,Billy Budd,3.0
863,Birthday Letters,3.0
864,Appointment in Samarra,3.0
865,Zuleika Dobson,3.0
866,The Wapshot Chronicle,3.0
867,The Magnificent Ambersons ,3.0
868,My Brilliant Friend,3.0
869,What Is the What,3.0
870,Outline,3.0
871,Citizen: An American Lyric,3.0
872,A Brief History of Seven Killings,3.0
873,Dinner at the Homesick Restaurant,3.0
874,Ender's Game,3.0
875,The Accidental Tourist,3.0
876,"Eats, Shoots and Leaves",3.0
877,Eminent Victorians,3.0
878,Encyclopédie,3.0
879,The Crucible,3.0
880,The Monkey Wrench Gang,3.0
881,The Rise and Fall of the Third Reich,3.0
882,Notes of a Native Son,3.0
883,The Mismeasure of Man,3.0
884,The Making of the English Working Class,3.0
